feature_id,name,type,values,missing_token
f_ant_e_187,Did you eat dark-fleshed fish (such as tuna) or Swiss cheese before the reaction occurred?,binary,"[""yes"", ""no""]",unknown
f_ant_e_6,Do you have chronic pancreatitis?,binary,"[""yes"", ""no""]",unknown
f_ant_e_125,Have you ever been diagnosed with gastroesophageal reflux?,binary,"[""yes"", ""no""]",unknown
f_ant_e_21,Have you ever had a spontaneous pneumothorax?,binary,"[""yes"", ""no""]",unknown
f_ant_e_222,Are you exposed to secondhand cigarette smoke on a daily basis?,binary,"[""yes"", ""no""]",unknown
f_ant_e_15,Have you started or taken any antipsychotic medication within the last 7 days?,binary,"[""yes"", ""no""]",unknown
f_ant_e_147,"Have you been treated in hospital recently for nausea, agitation, intoxication or aggressive behavior and received medication via an intravenous or intramuscular route?",binary,"[""yes"", ""no""]",unknown
f_ant_e_137,Have you ever had surgery to remove lymph nodes?,binary,"[""yes"", ""no""]",unknown
f_ant_e_149,Do you take a calcium channel blockers (medication)?,binary,"[""yes"", ""no""]",unknown
f_ant_e_197,Do you have a known kidney problem resulting in an inability to retain proteins?,binary,"[""yes"", ""no""]",unknown
f_ant_e_3,Have you ever had a pericarditis?,binary,"[""yes"", ""no""]",unknown
f_ant_e_29,Do any members of your immediate family have a psychiatric illness?,binary,"[""yes"", ""no""]",unknown
f_ant_e_225,Do you have close family members who had a cardiovascular disease problem before the age of 50?,binary,"[""yes"", ""no""]",unknown
f_ant_e_73,"In the last month, have you been in contact with anyone infected with the Ebola virus?",binary,"[""yes"", ""no""]",unknown
f_ant_e_138,Do you suffer from fibromyalgia?,binary,"[""yes"", ""no""]",unknown
f_ant_e_101,Have you been hospitalized for an asthma attack in the past year?,binary,"[""yes"", ""no""]",unknown
f_ant_e_46,Have you had 2 or more asthma attacks in the past year?,binary,"[""yes"", ""no""]",unknown
f_ant_e_119,Have you been diagnosed with chronic sinusitis?,binary,"[""yes"", ""no""]",unknown
f_ant_e_72,Have you had one or several flare ups of chronic obstructive pulmonary disease (COPD) in the past year?,binary,"[""yes"", ""no""]",unknown
f_ant_e_198,Do you work in agriculture?,binary,"[""yes"", ""no""]",unknown
f_ant_e_200,Do you work in the mining sector?,binary,"[""yes"", ""no""]",unknown
f_ant_e_199,Do you work in construction?,binary,"[""yes"", ""no""]",unknown
f_ant_e_121,Do you have a deviated nasal septum?,binary,"[""yes"", ""no""]",unknown
f_ant_e_120,Do you have polyps in your nose?,binary,"[""yes"", ""no""]",unknown
f_ant_e_142,Does your mother suffer from asthma?,binary,"[""yes"", ""no""]",unknown
f_ant_e_195,Do you live in the suburbs?,binary,"[""yes"", ""no""]",unknown
f_ant_e_183,Do you live in a rural area?,binary,"[""yes"", ""no""]",unknown
f_ant_e_224,Do you have family members who have had lung cancer?,binary,"[""yes"", ""no""]",unknown
f_ant_e_223,Are there members of your family who have been diagnosed with pancreatic cancer?,binary,"[""yes"", ""no""]",unknown
f_ant_e_5,Have you ever had fluid in your lungs?,binary,"[""yes"", ""no""]",unknown
